SRNO,GRNO,date,Time,Entry,deviceId,on,off
1,G01705,2025-01-11,11:58:16,IN,0729a1bbb26d6dda,1,1
2,G01705,2025-01-11,11:58:25,OUT,0729a1bbb26d6dda,1,1
3,G01705,2025-01-11,11:59:20,IN,0729a1bbb26d6dda,1,1
4,G00439,2025-01-12,06:31:41,IN,0729a1bbb26d6dda,1,1
5,G00301,2025-01-12,06:33:5,IN,0729a1bbb26d6dda,1,1
6,G00873,2025-01-12,06:33:52,IN,0729a1bbb26d6dda,1,1
7,G00132,2025-01-12,06:34:39,IN,0729a1bbb26d6dda,1,1
8,G01732,2025-01-12,06:35:50,IN,0729a1bbb26d6dda,1,1
9,G01887,2025-01-12,06:49:30,IN,0729a1bbb26d6dda,1,1
10,L00134,2025-01-12,06:49:37,IN,0729a1bbb26d6dda,1,1
11,L02517,2025-01-12,06:49:44,IN,0729a1bbb26d6dda,1,1
12,G01705,2025-01-12,06:50:2,IN,0729a1bbb26d6dda,1,1
13,G00025,2025-01-12,06:50:38,IN,0729a1bbb26d6dda,1,1
14,G00873,2025-01-12,06:51:12,IN,0729a1bbb26d6dda,1,1
15,GN231378,2025-01-12,06:51:58,IN,0729a1bbb26d6dda,1,1
16,G03012,2025-01-12,06:52:28,IN,0729a1bbb26d6dda,1,1
17,L02801,2025-01-12,06:52:55,IN,0729a1bbb26d6dda,1,1
18,GN230266,2025-01-12,06:53:46,IN,0729a1bbb26d6dda,1,1
19,GN230665,2025-01-12,06:53:49,IN,0729a1bbb26d6dda,1,1
20,G00775,2025-01-12,06:54:3,IN,0729a1bbb26d6dda,1,1
21,GN230257,2025-01-12,06:54:29,IN,0729a1bbb26d6dda,1,1
22,G03222,2025-01-12,06:55:40,IN,0729a1bbb26d6dda,1,1
23,G01224,2025-01-12,06:56:27,IN,0729a1bbb26d6dda,1,1
24,L02946,2025-01-12,06:56:34,IN,0729a1bbb26d6dda,1,1
25,L00561,2025-01-12,06:56:40,IN,0729a1bbb26d6dda,1,1
26,G00912,2025-01-12,06:57:19,IN,0729a1bbb26d6dda,1,1
27,G01972,2025-01-12,06:57:39,IN,0729a1bbb26d6dda,1,1
28,L01655,2025-01-12,06:57:42,IN,0729a1bbb26d6dda,1,1
29,L02738,2025-01-12,06:59:8,IN,0729a1bbb26d6dda,1,1
30,G01727,2025-01-12,06:59:15,IN,0729a1bbb26d6dda,1,1
31,L00603,2025-01-12,06:59:30,IN,0729a1bbb26d6dda,1,1
32,G01230,2025-01-12,06:59:36,IN,0729a1bbb26d6dda,1,1
33,L00402,2025-01-12,07:02:0,IN,0729a1bbb26d6dda,1,1
34,L01851,2025-01-12,07:03:47,IN,0729a1bbb26d6dda,1,1
35,L00169,2025-01-12,07:09:6,IN,0729a1bbb26d6dda,1,1
36,L03060,2025-01-12,07:09:49,IN,0729a1bbb26d6dda,1,1
37,GN231014,2025-01-12,07:09:56,IN,0729a1bbb26d6dda,1,1
38,L02033,2025-01-12,07:10:2,IN,0729a1bbb26d6dda,1,1
39,L02571,2025-01-12,07:10:11,IN,0729a1bbb26d6dda,1,1
40,G02746,2025-01-12,07:15:12,IN,0729a1bbb26d6dda,1,1
41,GN231019,2025-01-12,07:15:40,IN,0729a1bbb26d6dda,1,1
42,G02422,2025-01-12,07:17:9,IN,0729a1bbb26d6dda,1,1
43,G01181,2025-01-12,07:17:31,IN,0729a1bbb26d6dda,1,1
44,G01315,2025-01-12,07:21:48,IN,0729a1bbb26d6dda,1,1
45,G03071,2025-01-12,07:22:50,IN,0729a1bbb26d6dda,1,1
46,G00132,2025-01-12,07:25:41,IN,0729a1bbb26d6dda,1,1
47,G00402,2025-01-12,07:28:40,IN,0729a1bbb26d6dda,1,1
48,G01755,2025-01-12,07:28:46,IN,0729a1bbb26d6dda,1,1
49,G03038,2025-01-12,07:28:51,IN,0729a1bbb26d6dda,1,1
50,G01629,2025-01-12,07:29:0,IN,0729a1bbb26d6dda,1,1
51,GN231026,2025-01-12,07:29:43,IN,0729a1bbb26d6dda,1,1
52,GN231029,2025-01-12,07:30:41,IN,0729a1bbb26d6dda,1,1
53,L01645,2025-01-12,07:31:25,IN,0729a1bbb26d6dda,1,1
54,G00391,2025-01-12,07:31:31,IN,0729a1bbb26d6dda,1,1
55,L00049,2025-01-12,07:32:41,IN,0729a1bbb26d6dda,1,1
56,L02974,2025-01-12,07:33:9,IN,0729a1bbb26d6dda,1,1
57,L01666,2025-01-12,07:33:21,IN,0729a1bbb26d6dda,1,1
58,G00866,2025-01-12,07:34:25,IN,0729a1bbb26d6dda,1,1
59,L02698,2025-01-12,07:34:40,IN,0729a1bbb26d6dda,1,1
60,L00242,2025-01-12,07:35:36,IN,0729a1bbb26d6dda,1,1
61,GN230638,2025-01-12,07:36:49,IN,0729a1bbb26d6dda,1,1
62,GN231180,2025-01-12,07:37:22,IN,0729a1bbb26d6dda,1,1
63,GN230554,2025-01-12,07:37:28,IN,0729a1bbb26d6dda,1,1
64,G00687,2025-01-12,07:37:36,IN,0729a1bbb26d6dda,1,1
65,T00009,2025-01-12,07:38:25,IN,0729a1bbb26d6dda,1,1
66,L00229,2025-01-12,07:38:30,IN,0729a1bbb26d6dda,1,1
67,L02623,2025-01-12,07:38:36,IN,0729a1bbb26d6dda,1,1
68,L00435,2025-01-12,07:38:41,IN,0729a1bbb26d6dda,1,1
69,GN230241,2025-01-12,07:38:55,IN,0729a1bbb26d6dda,1,1
70,L01413,2025-01-12,07:39:7,IN,0729a1bbb26d6dda,1,1
71,G01527,2025-01-12,07:39:53,IN,0729a1bbb26d6dda,1,1
72,G02412,2025-01-12,08:03:59,IN,0729a1bbb26d6dda,1,1
73,G03188,2025-01-12,08:04:20,IN,0729a1bbb26d6dda,1,1
74,G00307,2025-01-12,08:12:23,IN,0729a1bbb26d6dda,1,1
75,L02749,2025-01-12,08:15:11,IN,0729a1bbb26d6dda,1,1
76,G00866,2025-01-12,10:37:30,OUT,0729a1bbb26d6dda,1,1
77,GN231180,2025-01-12,10:42:34,OUT,0729a1bbb26d6dda,1,1
78,GN230241,2025-01-12,10:42:43,OUT,0729a1bbb26d6dda,1,1
79,L01655,2025-01-12,10:46:6,OUT,0729a1bbb26d6dda,1,1
80,L02623,2025-01-12,10:55:19,OUT,0729a1bbb26d6dda,1,1
81,L00435,2025-01-12,10:55:25,OUT,0729a1bbb26d6dda,1,1
82,L00229,2025-01-12,10:55:51,OUT,0729a1bbb26d6dda,1,1
83,G01629,2025-01-12,10:56:0,OUT,0729a1bbb26d6dda,1,1
84,G01887,2025-01-12,10:56:58,OUT,0729a1bbb26d6dda,1,1
85,G01972,2025-01-12,10:59:48,OUT,0729a1bbb26d6dda,1,1
86,G02129,2025-01-12,10:59:56,OUT,0729a1bbb26d6dda,1,1
87,GN231378,2025-01-12,11:00:24,OUT,0729a1bbb26d6dda,1,1
88,G01315,2025-01-12,11:01:42,OUT,0729a1bbb26d6dda,1,1
89,L00049,2025-01-12,11:02:23,OUT,0729a1bbb26d6dda,1,1
90,L02180,2025-01-12,11:02:29,OUT,0729a1bbb26d6dda,1,1
91,L01413,2025-01-12,11:02:35,OUT,0729a1bbb26d6dda,1,1
92,L03110,2025-01-12,11:03:0,OUT,0729a1bbb26d6dda,1,1
93,L01851,2025-01-12,11:03:5,OUT,0729a1bbb26d6dda,1,1
94,G01230,2025-01-12,11:04:17,OUT,0729a1bbb26d6dda,1,1
95,GN231029,2025-01-12,11:04:24,OUT,0729a1bbb26d6dda,1,1
96,L02475,2025-01-12,11:04:30,OUT,0729a1bbb26d6dda,1,1
97,G02225,2025-01-12,11:04:39,OUT,0729a1bbb26d6dda,1,1
98,L01730,2025-01-12,11:05:16,OUT,0729a1bbb26d6dda,1,1
99,L00402,2025-01-12,11:05:29,OUT,0729a1bbb26d6dda,1,1
100,L01666,2025-01-12,11:05:55,OUT,0729a1bbb26d6dda,1,1
101,L02714,2025-01-12,11:07:32,OUT,0729a1bbb26d6dda,1,1
102,L02801,2025-01-12,11:08:37,OUT,0729a1bbb26d6dda,1,1
103,L02738,2025-01-12,11:09:11,OUT,0729a1bbb26d6dda,1,1
104,L02946,2025-01-12,11:09:25,OUT,0729a1bbb26d6dda,1,1
105,G00912,2025-01-12,11:09:42,OUT,0729a1bbb26d6dda,1,1
106,L00561,2025-01-12,11:09:59,OUT,0729a1bbb26d6dda,1,1
107,GN231019,2025-01-12,11:10:6,OUT,0729a1bbb26d6dda,1,1
108,G01727,2025-01-12,11:10:11,OUT,0729a1bbb26d6dda,1,1
109,GN230257,2025-01-12,11:10:45,OUT,0729a1bbb26d6dda,1,1
110,GN230638,2025-01-12,11:13:23,OUT,0729a1bbb26d6dda,1,1
111,L02517,2025-01-12,11:18:46,OUT,0729a1bbb26d6dda,1,1
112,G03012,2025-01-12,11:45:22,OUT,0729a1bbb26d6dda,1,1
113,L03217,2025-01-19,05:51:32,IN,0729a1bbb26d6dda,1,1
114,G01732,2025-01-19,05:51:45,IN,0729a1bbb26d6dda,1,1
115,G03222,2025-01-19,05:52:49,IN,0729a1bbb26d6dda,1,1
116,L03217,2025-01-19,05:57:38,IN,0729a1bbb26d6dda,1,1
117,G01732,2025-01-19,05:57:53,IN,0729a1bbb26d6dda,1,1
118,GN230257,2025-01-19,05:59:4,IN,0729a1bbb26d6dda,1,1
119,G00018,2025-01-19,06:06:12,IN,0729a1bbb26d6dda,1,1
120,L02847,2025-01-19,06:09:22,IN,0729a1bbb26d6dda,1,1
121,G00873,2025-01-19,06:09:28,IN,0729a1bbb26d6dda,1,1
122,G02746,2025-01-19,06:18:5,IN,0729a1bbb26d6dda,1,1
123,GN231378,2025-01-19,06:18:27,IN,0729a1bbb26d6dda,1,1
124,L02517,2025-01-19,06:21:4,IN,0729a1bbb26d6dda,1,1
125,G00025,2025-01-19,06:23:36,IN,0729a1bbb26d6dda,1,1
126,G01421,2025-01-19,06:23:41,IN,0729a1bbb26d6dda,1,1
127,G00151,2025-01-19,06:23:46,IN,0729a1bbb26d6dda,1,1
128,G00775,2025-01-19,06:25:43,IN,0729a1bbb26d6dda,1,1
129,G01031,2025-01-19,06:26:14,IN,0729a1bbb26d6dda,1,1
130,G03012,2025-01-19,06:29:4,IN,0729a1bbb26d6dda,1,1
131,G01887,2025-01-19,06:34:56,IN,0729a1bbb26d6dda,1,1
132,G00132,2025-01-19,06:42:35,IN,0729a1bbb26d6dda,1,1
133,L01730,2025-01-19,06:48:34,IN,0729a1bbb26d6dda,1,1
134,L01655,2025-01-19,06:49:14,IN,0729a1bbb26d6dda,1,1
135,G01972,2025-01-19,06:49:21,IN,0729a1bbb26d6dda,1,1
136,L02262,2025-01-19,06:52:4,IN,0729a1bbb26d6dda,1,1
137,L02946,2025-01-19,06:53:14,IN,0729a1bbb26d6dda,1,1
138,G01224,2025-01-19,06:53:26,IN,0729a1bbb26d6dda,1,1
139,G00338,2025-01-19,06:53:48,IN,0729a1bbb26d6dda,1,1
140,L005JB,2025-01-19,06:56:32,IN,0729a1bbb26d6dda,1,1
141,G00496,2025-01-19,06:57:41,IN,0729a1bbb26d6dda,1,1
142,L00169,2025-01-19,06:58:10,IN,0729a1bbb26d6dda,1,1
143,G01908,2025-01-19,06:58:15,IN,0729a1bbb26d6dda,1,1
144,G00964,2025-01-19,06:58:29,IN,0729a1bbb26d6dda,1,1
145,G01043,2025-01-19,06:58:39,IN,0729a1bbb26d6dda,1,1
146,M03787,2025-01-19,06:59:14,IN,0729a1bbb26d6dda,1,1
147,L02974,2025-01-19,06:59:39,IN,0729a1bbb26d6dda,1,1
148,GN231014,2025-01-19,06:59:46,IN,0729a1bbb26d6dda,1,1
149,L00287,2025-01-19,07:01:25,IN,0729a1bbb26d6dda,1,1
150,L01320,2025-01-19,07:01:33,IN,0729a1bbb26d6dda,1,1
